original_filename,src_ratio,src_format,com_ratio,com_format,metric,score
tadej-skofic-571573-unsplash,10,jp2,20,bpg,PSNR,43.04349178406797
tadej-skofic-571573-unsplash,10,jp2,20,bpg,UQI,0.998081855680269
tadej-skofic-571573-unsplash,10,jp2,20,bpg,SSIM,0.9710044608281677
tadej-skofic-571573-unsplash,10,jp2,20,bpg,SCC,0.27798576626614874
tadej-skofic-571573-unsplash,10,jp2,20,bpg,SAM,0.015280556616533844
tadej-skofic-571573-unsplash,10,jp2,20,bpg,VIFP,0.9446809531431694
tadej-skofic-571573-unsplash,10,jp2,20,jp2,PSNR,43.226140360448504
tadej-skofic-571573-unsplash,10,jp2,20,jp2,UQI,0.9979749352505051
tadej-skofic-571573-unsplash,10,jp2,20,jp2,SSIM,0.9710123305686965
tadej-skofic-571573-unsplash,10,jp2,20,jp2,SCC,0.4595081170994658
tadej-skofic-571573-unsplash,10,jp2,20,jp2,SAM,0.015265294948816613
tadej-skofic-571573-unsplash,10,jp2,20,jp2,VIFP,0.9399740105378549
tadej-skofic-571573-unsplash,10,jp2,20,jpg,PSNR,40.905988912634456
tadej-skofic-571573-unsplash,10,jp2,20,jpg,UQI,0.9971519090481853
tadej-skofic-571573-unsplash,10,jp2,20,jpg,SSIM,0.9590421056368692
tadej-skofic-571573-unsplash,10,jp2,20,jpg,SCC,0.21224092275370188
tadej-skofic-571573-unsplash,10,jp2,20,jpg,SAM,0.019705300374219886
tadej-skofic-571573-unsplash,10,jp2,20,jpg,VIFP,0.9386645980654343
tadej-skofic-571573-unsplash,10,jp2,20,jxr,PSNR,41.12893046603058
tadej-skofic-571573-unsplash,10,jp2,20,jxr,UQI,0.9971760077360924
tadej-skofic-571573-unsplash,10,jp2,20,jxr,SSIM,0.9542055134182444
tadej-skofic-571573-unsplash,10,jp2,20,jxr,SCC,0.14902890206772165
tadej-skofic-571573-unsplash,10,jp2,20,jxr,SAM,0.019090600352217522
tadej-skofic-571573-unsplash,10,jp2,20,jxr,VIFP,0.9317613943868717
tadej-skofic-571573-unsplash,10,jp2,40,bpg,PSNR,41.705557961123944
tadej-skofic-571573-unsplash,10,jp2,40,bpg,UQI,0.9974713873736619
tadej-skofic-571573-unsplash,10,jp2,40,bpg,SSIM,0.9622372377193344
tadej-skofic-571573-unsplash,10,jp2,40,bpg,SCC,0.17386490864939916
tadej-skofic-571573-unsplash,10,jp2,40,bpg,SAM,0.017945855389798804
tadej-skofic-571573-unsplash,10,jp2,40,bpg,VIFP,0.9398262569905704
tadej-skofic-571573-unsplash,10,jp2,40,jp2,PSNR,41.67198939330934
tadej-skofic-571573-unsplash,10,jp2,40,jp2,UQI,0.9973481909515177
tadej-skofic-571573-unsplash,10,jp2,40,jp2,SSIM,0.9613324119473091
tadej-skofic-571573-unsplash,10,jp2,40,jp2,SCC,0.34176208081443776
tadej-skofic-571573-unsplash,10,jp2,40,jp2,SAM,0.018206533381589843
tadej-skofic-571573-unsplash,10,jp2,40,jp2,VIFP,0.9287997542494697
tadej-skofic-571573-unsplash,10,jp2,40,jpg,PSNR,37.68188119087743
tadej-skofic-571573-unsplash,10,jp2,40,jpg,UQI,0.9941091125710364
tadej-skofic-571573-unsplash,10,jp2,40,jpg,SSIM,0.9314371614352547
tadej-skofic-571573-unsplash,10,jp2,40,jpg,SCC,0.10449973293261779
tadej-skofic-571573-unsplash,10,jp2,40,jpg,SAM,0.028799199799001075
tadej-skofic-571573-unsplash,10,jp2,40,jpg,VIFP,0.9074594576976742
tadej-skofic-571573-unsplash,10,jp2,40,jxr,PSNR,38.98643281093175
tadej-skofic-571573-unsplash,10,jp2,40,jxr,UQI,0.996019246365305
tadej-skofic-571573-unsplash,10,jp2,40,jxr,SSIM,0.9343002572125373
tadej-skofic-571573-unsplash,10,jp2,40,jxr,SCC,0.07667681398421726
tadej-skofic-571573-unsplash,10,jp2,40,jxr,SAM,0.024513506638229317
tadej-skofic-571573-unsplash,10,jp2,40,jxr,VIFP,0.9189743652697995
tadej-skofic-571573-unsplash,10,jp2,60,bpg,PSNR,40.63787709801625
tadej-skofic-571573-unsplash,10,jp2,60,bpg,UQI,0.996921190095339
tadej-skofic-571573-unsplash,10,jp2,60,bpg,SSIM,0.9549650019717242
tadej-skofic-571573-unsplash,10,jp2,60,bpg,SCC,0.12896065516701094
tadej-skofic-571573-unsplash,10,jp2,60,bpg,SAM,0.02028152419339024
tadej-skofic-571573-unsplash,10,jp2,60,bpg,VIFP,0.9323772631455558
tadej-skofic-571573-unsplash,10,jp2,60,jp2,PSNR,40.16608926084209
tadej-skofic-571573-unsplash,10,jp2,60,jp2,UQI,0.9962928391594096
tadej-skofic-571573-unsplash,10,jp2,60,jp2,SSIM,0.9521639926346444
tadej-skofic-571573-unsplash,10,jp2,60,jp2,SCC,0.2935796450930641
tadej-skofic-571573-unsplash,10,jp2,60,jp2,SAM,0.021596593519145946
tadej-skofic-571573-unsplash,10,jp2,60,jp2,VIFP,0.9141319595821468
tadej-skofic-571573-unsplash,10,jp2,60,jpg,PSNR,33.04258994281908
tadej-skofic-571573-unsplash,10,jp2,60,jpg,UQI,0.9832825082050558
tadej-skofic-571573-unsplash,10,jp2,60,jpg,SSIM,0.8700666848076327
tadej-skofic-571573-unsplash,10,jp2,60,jpg,SCC,0.0386761209648206
tadej-skofic-571573-unsplash,10,jp2,60,jpg,SAM,0.049063399795373185
tadej-skofic-571573-unsplash,10,jp2,60,jpg,VIFP,0.8326455847056944
tadej-skofic-571573-unsplash,10,jp2,60,jxr,PSNR,37.861490466153704
tadej-skofic-571573-unsplash,10,jp2,60,jxr,UQI,0.9953486440328394
tadej-skofic-571573-unsplash,10,jp2,60,jxr,SSIM,0.9225064848518096
tadej-skofic-571573-unsplash,10,jp2,60,jxr,SCC,0.055890881546814875
tadej-skofic-571573-unsplash,10,jp2,60,jxr,SAM,0.027926954530674394
tadej-skofic-571573-unsplash,10,jp2,60,jxr,VIFP,0.9080402513413863
tadej-skofic-571573-unsplash,10,jp2,80,bpg,PSNR,39.88152449625396
tadej-skofic-571573-unsplash,10,jp2,80,bpg,UQI,0.9965110524622706
tadej-skofic-571573-unsplash,10,jp2,80,bpg,SSIM,0.9494524992812349
tadej-skofic-571573-unsplash,10,jp2,80,bpg,SCC,0.10635960917956491
tadej-skofic-571573-unsplash,10,jp2,80,bpg,SAM,0.022176086511237453
tadej-skofic-571573-unsplash,10,jp2,80,bpg,VIFP,0.9282333824208895
tadej-skofic-571573-unsplash,10,jp2,80,jp2,PSNR,38.94252409651258
tadej-skofic-571573-unsplash,10,jp2,80,jp2,UQI,0.995643080236491
tadej-skofic-571573-unsplash,10,jp2,80,jp2,SSIM,0.9428296606688851
tadej-skofic-571573-unsplash,10,jp2,80,jp2,SCC,0.24472370719349243
tadej-skofic-571573-unsplash,10,jp2,80,jp2,SAM,0.024800377788337036
tadej-skofic-571573-unsplash,10,jp2,80,jp2,VIFP,0.9057241737116796
tadej-skofic-571573-unsplash,10,jp2,80,jpg,PSNR,24.389683099014114
tadej-skofic-571573-unsplash,10,jp2,80,jpg,UQI,0.8900691376243746
tadej-skofic-571573-unsplash,10,jp2,80,jpg,SSIM,0.715080397860372
tadej-skofic-571573-unsplash,10,jp2,80,jpg,SCC,0.006243779919500621
tadej-skofic-571573-unsplash,10,jp2,80,jpg,SAM,0.13121347466483993
tadej-skofic-571573-unsplash,10,jp2,80,jpg,VIFP,0.6237363723996848
tadej-skofic-571573-unsplash,10,jp2,80,jxr,PSNR,36.96372221131849
tadej-skofic-571573-unsplash,10,jp2,80,jxr,UQI,0.99471349319094
tadej-skofic-571573-unsplash,10,jp2,80,jxr,SSIM,0.9124368222267
tadej-skofic-571573-unsplash,10,jp2,80,jxr,SCC,0.04426709998755618
tadej-skofic-571573-unsplash,10,jp2,80,jxr,SAM,0.030969008046580173
tadej-skofic-571573-unsplash,10,jp2,80,jxr,VIFP,0.8980729526139601
tadej-skofic-571573-unsplash,10,jpg,20,bpg,PSNR,43.72143827324639
tadej-skofic-571573-unsplash,10,jpg,20,bpg,UQI,0.9985421160393422
