original_filename,src_ratio,src_format,com_ratio,com_format,metric,score
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,bpg,SAM,0.023803005098995845
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,bpg,VIFP,0.9401065065314935
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jp2,PSNR,38.033831120729964
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jp2,UQI,0.9965164876616125
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jp2,SSIM,0.9460814699914479
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jp2,SCC,0.3421508115354261
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jp2,SAM,0.02770372485217601
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jp2,VIFP,0.9229845958216985
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jpg,PSNR,33.385777296280395
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jpg,UQI,0.9888770832577912
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jpg,SSIM,0.8854632789239281
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jpg,SCC,0.08989285153871153
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jpg,SAM,0.047201144656808865
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jpg,VIFP,0.8855441955662968
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jxr,PSNR,35.53976257330844
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jxr,UQI,0.9949238832232091
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jxr,SSIM,0.9051124850845218
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jxr,SCC,0.07593599421707407
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jxr,SAM,0.03658043858509447
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,jxr,VIFP,0.9075020861599538
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,bpg,PSNR,37.90006303416441
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,bpg,UQI,0.9964811349279549
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,bpg,SSIM,0.9468527734709119
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,bpg,SCC,0.16065618405275578
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,bpg,SAM,0.027925913819576906
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,bpg,VIFP,0.9297874787801075
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jp2,PSNR,36.83250254671076
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jp2,UQI,0.9950991456211248
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jp2,SSIM,0.9371934633587977
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jp2,SCC,0.31446945177343316
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jp2,SAM,0.03164404592959908
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jp2,VIFP,0.906845621749452
tadej-skofic-571573-unsplash-shrinked,10,jp2,60,jpg,PSNR,25.49466401812753
