filename,srccompRatio,srcformat,comcompRatio,comformat,metric,score
test_10_jp2,10,jp2,60,jxr,SAM,0.13809474753305725
test_10_jp2,10,jp2,60,jxr,VIFP,0.19138281598448817
test_10_jp2,10,jp2,80,bpg,PSNR,23.80107211989413
test_10_jp2,10,jp2,80,bpg,UQI,0.9880585150806156
test_10_jp2,10,jp2,80,bpg,SSIM,0.8080542592931109
test_10_jp2,10,jp2,80,bpg,ERGAS,4949.856039888531
test_10_jp2,10,jp2,80,bpg,SAM,0.09483027701926751
test_10_jp2,10,jp2,80,bpg,VIFP,0.3050572589240532
test_10_jp2,10,jp2,80,jp2,PSNR,20.408232909616917
test_10_jp2,10,jp2,80,jp2,UQI,0.9752089016976071
test_10_jp2,10,jp2,80,jp2,SSIM,0.7035242315354283
test_10_jp2,10,jp2,80,jp2,ERGAS,7020.1125472766535
test_10_jp2,10,jp2,80,jp2,SAM,0.14021208183604442
test_10_jp2,10,jp2,80,jp2,VIFP,0.20771062740687177
test_10_jp2,10,jp2,80,jpg,PSNR,20.036613268733415
test_10_jp2,10,jp2,80,jpg,UQI,0.9657412326955725
test_10_jp2,10,jp2,80,jpg,SSIM,0.679159571952801
test_10_jp2,10,jp2,80,jpg,ERGAS,8054.394793018853
test_10_jp2,10,jp2,80,jpg,SAM,0.14633576955320626
test_10_jp2,10,jp2,80,jpg,VIFP,0.19311019323836157
test_10_jp2,10,jp2,80,jxr,PSNR,18.331897145730597
test_10_jp2,10,jp2,80,jxr,UQI,0.9628541083512658
test_10_jp2,10,jp2,80,jxr,SSIM,0.5680477379170507
test_10_jp2,10,jp2,80,jxr,ERGAS,8924.679034441406
test_10_jp2,10,jp2,80,jxr,SAM,0.17882142672031043
test_10_jp2,10,jp2,80,jxr,VIFP,0.1299097938444883
test_10_jpg,10,jpg,20,bpg,PSNR,30.393826089699004
test_10_jpg,10,jpg,20,bpg,UQI,0.9969566687190659
test_10_jpg,10,jpg,20,bpg,SSIM,0.9402774412392185
test_10_jpg,10,jpg,20,bpg,ERGAS,2476.0485188708803
test_10_jpg,10,jpg,20,bpg,SAM,0.04434780964290986
test_10_jpg,10,jpg,20,bpg,VIFP,0.5189175283856878
test_10_jpg,10,jpg,20,jp2,PSNR,28.220168067136857
test_10_jpg,10,jpg,20,jp2,UQI,0.9952870820885623
test_10_jpg,10,jpg,20,jp2,SSIM,0.9092384974722153
test_10_jpg,10,jpg,20,jp2,ERGAS,3164.87175374033
test_10_jpg,10,jpg,20,jp2,SAM,0.056727489954262744
test_10_jpg,10,jpg,20,jp2,VIFP,0.44256083157814907
test_10_jpg,10,jpg,20,jpg,PSNR,25.538918923354778
test_10_jpg,10,jpg,20,jpg,UQI,0.9913266623632744
test_10_jpg,10,jpg,20,jpg,SSIM,0.8649333442147014
test_10_jpg,10,jpg,20,jpg,ERGAS,4211.889885113943
test_10_jpg,10,jpg,20,jpg,SAM,0.07768841537078597
test_10_jpg,10,jpg,20,jpg,VIFP,0.36938801158421186
test_10_jpg,10,jpg,20,jxr,PSNR,26.20212676193535
test_10_jpg,10,jpg,20,jxr,UQI,0.9926149570754937
test_10_jpg,10,jpg,20,jxr,SSIM,0.8570172242258755
test_10_jpg,10,jpg,20,jxr,ERGAS,4015.857596969672
test_10_jpg,10,jpg,20,jxr,SAM,0.07212428693272889
test_10_jpg,10,jpg,20,jxr,VIFP,0.3680596338240964
test_10_jpg,10,jpg,40,bpg,PSNR,27.447330778480854
test_10_jpg,10,jpg,40,bpg,UQI,0.9942004162249086
test_10_jpg,10,jpg,40,bpg,SSIM,0.8922064041360872
test_10_jpg,10,jpg,40,bpg,ERGAS,3439.8286027904496
test_10_jpg,10,jpg,40,bpg,SAM,0.06227710353902918
test_10_jpg,10,jpg,40,bpg,VIFP,0.41638724029594343
test_10_jpg,10,jpg,40,jp2,PSNR,24.643811936192957
test_10_jpg,10,jpg,40,jp2,UQI,0.9891701444176997
test_10_jpg,10,jpg,40,jp2,SSIM,0.8414747689084857
test_10_jpg,10,jpg,40,jp2,ERGAS,4644.025961892105
test_10_jpg,10,jpg,40,jp2,SAM,0.08590452475766165
test_10_jpg,10,jpg,40,jp2,VIFP,0.332475405823007
test_10_jpg,10,jpg,40,jpg,PSNR,20.105045053278022
test_10_jpg,10,jpg,40,jpg,UQI,0.9657726329935388
test_10_jpg,10,jpg,40,jpg,SSIM,0.6747108437087898
test_10_jpg,10,jpg,40,jpg,ERGAS,8054.746313844928
test_10_jpg,10,jpg,40,jpg,SAM,0.14547456007526985
test_10_jpg,10,jpg,40,jpg,VIFP,0.19110406392951731
test_10_jpg,10,jpg,40,jxr,PSNR,22.264557623108622
test_10_jpg,10,jpg,40,jxr,UQI,0.9835498073882251
test_10_jpg,10,jpg,40,jxr,SSIM,0.7415277821017693
test_10_jpg,10,jpg,40,jxr,ERGAS,6072.620769913227
test_10_jpg,10,jpg,40,jxr,SAM,0.11354241132133941
test_10_jpg,10,jpg,40,jxr,VIFP,0.238242423136904
test_10_jpg,10,jpg,60,bpg,PSNR,26.019685373414777
test_10_jpg,10,jpg,60,bpg,UQI,0.9923951707183304
test_10_jpg,10,jpg,60,bpg,SSIM,0.8609556494312961
test_10_jpg,10,jpg,60,bpg,ERGAS,3995.247546649351
test_10_jpg,10,jpg,60,bpg,SAM,0.07349752994409113
test_10_jpg,10,jpg,60,bpg,VIFP,0.3670880450927892
test_10_jpg,10,jpg,60,jp2,PSNR,21.578076865913623
test_10_jpg,10,jpg,60,jp2,UQI,0.9794898325966573
test_10_jpg,10,jpg,60,jp2,SSIM,0.7406445099263478
test_10_jpg,10,jpg,60,jp2,ERGAS,6331.147290308887
test_10_jpg,10,jpg,60,jp2,SAM,0.12249505027953282
test_10_jpg,10,jpg,60,jp2,VIFP,0.2375750554429127
test_10_jpg,10,jpg,60,jpg,PSNR,20.105045053278022
test_10_jpg,10,jpg,60,jpg,UQI,0.9657726329935388
test_10_jpg,10,jpg,60,jpg,SSIM,0.6747108437087898
test_10_jpg,10,jpg,60,jpg,ERGAS,8054.746313844928
test_10_jpg,10,jpg,60,jpg,SAM,0.14547456007526985
test_10_jpg,10,jpg,60,jpg,VIFP,0.19110406392951731
test_10_jpg,10,jpg,60,jxr,PSNR,20.650888448653166
test_10_jpg,10,jpg,60,jxr,UQI,0.9764088608001563
test_10_jpg,10,jpg,60,jxr,SSIM,0.6691003763858521
test_10_jpg,10,jpg,60,jxr,ERGAS,7131.06088559007
test_10_jpg,10,jpg,60,jxr,SAM,0.13702356059699852
test_10_jpg,10,jpg,60,jxr,VIFP,0.19138933174990536
test_10_jpg,10,jpg,80,bpg,PSNR,23.82448595839331
test_10_jpg,10,jpg,80,bpg,UQI,0.9877606175651268
test_10_jpg,10,jpg,80,bpg,SSIM,0.7965761368006271
test_10_jpg,10,jpg,80,bpg,ERGAS,5019.011405012357
test_10_jpg,10,jpg,80,bpg,SAM,0.09475592566845759
test_10_jpg,10,jpg,80,bpg,VIFP,0.29784831944939705
test_10_jpg,10,jpg,80,jp2,PSNR,20.472231141356104
test_10_jpg,10,jpg,80,jp2,UQI,0.9750992602317131
test_10_jpg,10,jpg,80,jp2,SSIM,0.698217258141746
test_10_jpg,10,jpg,80,jp2,ERGAS,7038.064917649465
test_10_jpg,10,jpg,80,jp2,SAM,0.13934392222406997
test_10_jpg,10,jpg,80,jp2,VIFP,0.2050583847302617
test_10_jpg,10,jpg,80,jpg,PSNR,20.105045053278022
test_10_jpg,10,jpg,80,jpg,UQI,0.9657726329935388
test_10_jpg,10,jpg,80,jpg,SSIM,0.6747108437087898
test_10_jpg,10,jpg,80,jpg,ERGAS,8054.746313844928
test_10_jpg,10,jpg,80,jpg,SAM,0.14547456007526985
test_10_jpg,10,jpg,80,jpg,VIFP,0.19110406392951731
test_10_jpg,10,jpg,80,jxr,PSNR,18.396647841121418
test_10_jpg,10,jpg,80,jxr,UQI,0.9624154651031479
test_10_jpg,10,jpg,80,jxr,SSIM,0.5640552301193535
test_10_jpg,10,jpg,80,jxr,ERGAS,8917.531631117208
test_10_jpg,10,jpg,80,jxr,SAM,0.17781764738290207
test_10_jpg,10,jpg,80,jxr,VIFP,0.12933274877425951
test_30_jp2,30,jp2,20,bpg,PSNR,26.71819314874503
test_30_jp2,30,jp2,20,bpg,UQI,0.9931499417245583
test_30_jp2,30,jp2,20,bpg,SSIM,0.8965953606991652
test_30_jp2,30,jp2,20,bpg,ERGAS,3643.426233745249
test_30_jp2,30,jp2,20,bpg,SAM,0.06723741302711024
test_30_jp2,30,jp2,20,bpg,VIFP,0.40935518623818906
test_30_jp2,30,jp2,20,jp2,PSNR,29.556626307803665
test_30_jp2,30,jp2,20,jp2,UQI,0.9963563112518021
test_30_jp2,30,jp2,20,jp2,SSIM,0.9448593346222887
test_30_jp2,30,jp2,20,jp2,ERGAS,2564.5620145037797
test_30_jp2,30,jp2,20,jp2,SAM,0.04859877380284736
test_30_jp2,30,jp2,20,jp2,VIFP,0.5286364466625038
test_30_jp2,30,jp2,20,jpg,PSNR,24.51387559176751
test_30_jp2,30,jp2,20,jpg,UQI,0.9890536441617718
test_30_jp2,30,jp2,20,jpg,SSIM,0.8371743112463137
test_30_jp2,30,jp2,20,jpg,ERGAS,4673.652715296745
test_30_jp2,30,jp2,20,jpg,SAM,0.08677208080654042
test_30_jp2,30,jp2,20,jpg,VIFP,0.334799221585224
test_30_jp2,30,jp2,20,jxr,PSNR,24.98870347542118
test_30_jp2,30,jp2,20,jxr,UQI,0.9901720004493058
test_30_jp2,30,jp2,20,jxr,SSIM,0.8400760886639879
test_30_jp2,30,jp2,20,jxr,ERGAS,4493.676172577473
test_30_jp2,30,jp2,20,jxr,SAM,0.08232049366924857
test_30_jp2,30,jp2,20,jxr,VIFP,0.33402367471968847
test_30_jp2,30,jp2,40,bpg,PSNR,26.30989913507472
test_30_jp2,30,jp2,40,bpg,UQI,0.991973012099498
test_30_jp2,30,jp2,40,bpg,SSIM,0.889847273204024
test_30_jp2,30,jp2,40,bpg,ERGAS,3863.6831450375244
test_30_jp2,30,jp2,40,bpg,SAM,0.07030530535096853
test_30_jp2,30,jp2,40,bpg,VIFP,0.3917834040277808
test_30_jp2,30,jp2,40,jp2,PSNR,29.000529567307325
test_30_jp2,30,jp2,40,jp2,UQI,0.995639084115592
test_30_jp2,30,jp2,40,jp2,SSIM,0.9475083822576665
test_30_jp2,30,jp2,40,jp2,ERGAS,2586.6054483377234
test_30_jp2,30,jp2,40,jp2,SAM,0.051567907956543514
test_30_jp2,30,jp2,40,jp2,VIFP,0.5412361914042947
test_30_jp2,30,jp2,40,jpg,PSNR,20.183094023708943
test_30_jp2,30,jp2,40,jpg,UQI,0.9665948448146576
test_30_jp2,30,jp2,40,jpg,SSIM,0.6888543210071818
test_30_jp2,30,jp2,40,jpg,ERGAS,7823.331170507442
test_30_jp2,30,jp2,40,jpg,SAM,0.1432921556383042
test_30_jp2,30,jp2,40,jpg,VIFP,0.1972497417647374
test_30_jp2,30,jp2,40,jxr,PSNR,22.19453019637479
test_30_jp2,30,jp2,40,jxr,UQI,0.9827321870410101
test_30_jp2,30,jp2,40,jxr,SSIM,0.7503563633817291
test_30_jp2,30,jp2,40,jxr,ERGAS,6031.543783224948
test_30_jp2,30,jp2,40,jxr,SAM,0.11362841999706819
test_30_jp2,30,jp2,40,jxr,VIFP,0.23796129710026126
test_30_jp2,30,jp2,60,bpg,PSNR,25.638675328988736
test_30_jp2,30,jp2,60,bpg,UQI,0.9912964622918418
test_30_jp2,30,jp2,60,bpg,SSIM,0.8736840887867027
test_30_jp2,30,jp2,60,bpg,ERGAS,4064.3881107257307
test_30_jp2,30,jp2,60,bpg,SAM,0.07583315333903516
