original_filename,src_ratio,src_format,com_ratio,com_format,metric,score
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jp2,SAM,0.10324985455200436
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jpg,SCC,0.17682337468302448
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jpg,SAM,0.14553234224335546
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jxr,SCC,0.1939351205872326
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jxr,SAM,0.12125626824155178
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jp2,VIFP,0.8911673125669292
anders-wideskott-57598-unsplash-cropped,10,jp2,60,bpg,VIFP,0.8886210236774055
anders-wideskott-57598-unsplash-cropped,10,jp2,80,bpg,PSNR,24.74971866612309
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jp2,PSNR,22.946895694334145
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jxr,VIFP,0.8755464531732
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jpg,VIFP,0.857051856964191
anders-wideskott-57598-unsplash-cropped,10,jp2,80,bpg,UQI,0.9613246863026629
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jpg,PSNR,19.85811013563938
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jp2,UQI,0.9464795653496907
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jxr,PSNR,21.56036250880929
anders-wideskott-57598-unsplash-cropped,10,jp2,80,bpg,SSIM,0.7877803805663142
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jp2,SSIM,0.7111914362879181
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jxr,UQI,0.9377207909772648
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jpg,UQI,0.9224214429463554
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jpg,SSIM,0.6064332344012926
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jxr,SSIM,0.6365637777453647
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jp2,SCC,0.278778315318841
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jp2,SAM,0.11785099072452825
anders-wideskott-57598-unsplash-cropped,10,jp2,80,bpg,SCC,0.29998675069463465
anders-wideskott-57598-unsplash-cropped,10,jp2,80,bpg,SAM,0.09506044077194871
anders-wideskott-57598-unsplash-cropped,10,jp2,80,jpg,SCC,0.13427020769652429
